document_identifier,context,question,document_text
coxartrose1,coxartrose,O que é a Coxartrose (artrose da anca)?,É o desgaste da cartilagem articular da bacia e da cabeça do fémur que provoca uma remodelação do osso subcondral e a formação de osteófitos.
coxartrose2,coxartrose,Quais os sintomas?,"O sintoma que surge em primeiro lugar é a dor que se localiza normalmente na virilha, mas também pode localizar-se na coxa, nádega, região lateral da anca e até mesmo no joelho.
Com o desenvolvimento da doença pode surgir rigidez articular que se manifesta pela dificuldade no agachamento, no calçar os sapatos ou meias e na alteração da marcha."
coxartrose3,coxartrose,Como se faz o diagnóstico?,É possível fazer o diagnóstico através de exame médico e de uma radiografia.
coxartrose4,coxartrose,Qual o tratamento?,"O tratamento será sempre decidido pelo seu médico.
Numa fase inicial o tratamento não é cirúrgico, a pessoa deve evitar esforços e exercícios com carga nos membros inferiores.
É importante manter a mobilização da articulação e o fortalecimento muscular.
Pode ser necessário controlar a dor com medicação de acordo com indicação médica.
Nesta situação é muito importante o controle do peso, caso haja necesidade deve fazer dieta. 
Nas situações mais avançadas é necessário recorrer à cirurgia de aplicação de Prótese total da anca."
coxartrose5,coxartrose,Como posso preparar e manter o fortalecimento muscular?,"Aprender a praticar alguns exercícios para fortalecimento muscular, facilita o seu período pós-operatório e o programa de reabilitação com o fisioterapeuta.
Aprender a andar com canadianas antes de ser operado facilita o seu período pós-operatório e o programa de reabilitação.
Em caso de dúvida aconselhe-se com o seu médico ortopedista nas consultas de pré operatório."
coxartrose6,coxartrose,O que é uma Prótese Total da Anca?,A prótese total da anca é constituída por duas partes: uma que encaixa na cavidade da bacia e outra que vai substituir a extremidade do fémur.
coxartrose7,coxartrose,Que cuidados devo ter com Prótese da Anca?,"É fundamental respeitar sempre estes cuidados básicos:
Não rodar a perna operada para dentro ou para fora;
Não rodar demasiado os pés para dentro ou para fora;
Não apoiar todo o peso do corpo na perna operada;
Não se sentar em cadeiras ou sofás baixos;
Não elevar o joelho acima da anca enquanto estiver sentado ou a sentar-se;
Não dobrar o joelho da perna operada a mais do que 90º;
Não se inclinar para a frente;
Não apanhar objetos do chão;
Não puxar os lençóis ou cobertores dos pés da cama enquanto estiver deitado;
Não deitar sobre o lado operado;
Não cruzar as pernas;
Não usar a dor como referência do que pode ou não fazer;
Não administrar injetáveis no lado operado;
Evitar o excesso de peso;
Não compensar, sem ordem do médico, uma eventual desigualdade de comprimento das pernas."
coxartrose8,coxartrose,O que posso fazer tendo Prótese da Anca?,"É fundamental respeitar sempre estes cuidados básicos:
Não rodar a perna operada para dentro ou para fora;
Não rodar demasiado os pés para dentro ou para fora;
Não apoiar todo o peso do corpo na perna operada;
Não se sentar em cadeiras ou sofás baixos;
Não elevar o joelho acima da anca enquanto estiver sentado ou a sentar-se;
Não dobrar o joelho da perna operada a mais do que 90º;
Não se inclinar para a frente;
Não apanhar objetos do chão;
Não puxar os lençóis ou cobertores dos pés da cama enquanto estiver deitado;
Não deitar sobre o lado operado;
Não cruzar as pernas;
Não usar a dor como referência do que pode ou não fazer;
Não administrar injetáveis no lado operado;
Evitar o excesso de peso;
Não compensar, sem ordem do médico, uma eventual desigualdade de comprimento das pernas."
coxartrose9,coxartrose,Como levantar-me da cama?,"A cama deve ser alta para facilitar o movimento.
Pelo lado bom, deitado de costas, com os joelhos ligeiramente flectidos (não mais do que 30º), tendo sempre uma almofada entre os joelhos, rodar em bloco para o lado são, deslocando-se para a beira da cama. Faz carga no cotovelo que fica junto ao colchão para ajudar a iniciar o levante para a posição de sentado, ao mesmo tempo que põe as pernas para fora da cama. Apoiar a perna boa no chão e levantar o corpo, mantendo a perna operada esticada."
coxartrose10,coxartrose,Como sentar-me na cama?,"Deitar pelo lado bom, mantendo a perna operada em extensão, encosta as nádegas à beira da cama e senta-se. Com apoio dos braços chega-se mais para dentro da cama. Levar primeiro a perna boa para o meio da cama e depois com ajuda das mãos, levar a perna operada, mantendo-a esticada.
Deitar pelo lado operado, após se sentar na cama, deve rodar o corpo e colocar o membro operado na cama em extensão. Com apoio do braço e da perna sã deverá chegar-se mais para dentro da cama e colocar a perna sã no leito.
Quando deitado, não deve fazer a flexão do joelho da perna operada mais do que 30º.
Durante os 6 meses após a intervenção o doente deverá manter almofada entre os joelhos e evitar dormir sobre a perna operada."
coxartrose11,coxartrose,Como se sentar e levantar da cadeira?,"Ao sentar-se incline-se para trás mantendo a perna operada em extensão.
Ao levantar-se faça-o com a perna operada em extensão.
De preferência use assentos com apoios de braços para facilitar os movimentos. Aquando sentado mantenha uma postura correta, costas direitas e os joelhos ao mesmo nível da anca."
coxartrose12,coxartrose,Como andar normalmente ou com canadianas?,"A pessoa deverá iniciar marcha com auxiliares de marcha (andarilho, canadianas) o mais precocemente possível, mas sem fazer força na perna operada."
coxartrose13,coxartrose,Como posso tomar banho?,"No domicílio, durante o primeiro mês, deve haver o acompanhamento do cuidador. 
O uso de polibã deve ser aconselhado podendo o doente tomar banho sentado num banco desde que esteja bem seguro.
Se só houver banheira, pode usar equipamento adaptativo, como por exemplo, tábua de apoio para banheira.
Para entrar na banheira, introduz-se primeiro a perna sã e depois a perna operada em extensão, permanecendo nesta posição durante os cuidados de higiene. Para sair deve fazer o movimento inverso. 
Se possível instalar pegas de suporte na banheira e na sanita.
Não deve usar o bidé.
O uso de tapete antiderrapante no polibã/banheira.
Fazer alguma modificação na adequação do mobiliário de modo a movimentar-se melhor.
Retirar tapetes."
coxartrose14,coxartrose,Como descer escadas com canadianas?,"Colocar primeiro as canadianas no degrau abaixo, depois a pé operado e por último a pé são."
coxartrose15,coxartrose,Como subir escadas com canadianas?,"Colocar no degrau de cima primeiro o pé são, depois o pé doente e por fim as canadianas."
coxartrose16,coxartrose,"Como baixar, ajoelhar e limpar a casa?","Evite baixar-se.
Não apanhe objetos do chão.
Utilizar dispositivos para os sapatos e meias.
Até indicação médica evite trabalhos domésticos pesados."
coxartrose17,coxartrose,Para entrar e sair do carro como faço?,"Colocar o assento para trás o máximo possível.
Colocar a perna operada em extensão ao mesmo tempo que roda o tronco para dentro/fora e ajudar a perna operada com as mãos.
A colocação de um saco de plástico no assento pode ajudar a manobra."
coxartrose18,coxartrose,"Tenho uma injeção e medicação diária para fazer, para que serve?","Vai tomar uma injeção que é um anticoagulante, utilizado para prevenir o aparecimento de coágulos sanguíneos."
coxartrose19,coxartrose,Quanto tempo vou ficar no Hospital?,Habitualmente os pacientes ficam no Hospital 2 a 4 dias.
coxartrose20,coxartrose,Quanto tempo vou precisar de recuperação?,O tempo de recuperação varia de 90 a 180 dias.
coxartrose21,coxartrose,"Tenho dor intensa na perna operada, o que devo fazer?","Deve fazer repouso. Aplicar gelo por períodos e se necessário tomar o analgésico receitado pelo seu médico assistente.
Caso a dor se mantenha recorra ao seu Centro de Saúde."
coxartrose22,coxartrose,"Tenho a perna vermelha quente e inchada no local da operação, o que devo fazer?","Deve fazer repouso. Aplicar gelo por períodos e se necessário tomar o analgésico receitado pelo seu médico assistente.
Caso a dor se mantenha recorra ao seu Centro de Saúde."
coxartrose23,coxartrose,"A cicatriz começou a deitar um líquido e a infeccionar, o que devo fazer?",Se a cicatriz deixar um líquido ou estiver infeccionada deve recorrer imediatamente ao seu Centro de Saúde.
coxartrose24,coxartrose,"Tenho febre, o que devo fazer?","Considera-se que um adulto tem febre quando a temperatura é superior ou igual a 38ºC, neste caso:
Tomar um antipirético;
Ingerir água;
Repouso.
Existem muitas causas comuns que podem provocar febre, mas se esta, se mantiver e apresentar o local da operação vermelho, quente, inchado e com dor deve recorrer ao seu Centro de Saúde."
coxartrose25,coxartrose,"Tenho a perna operada mais curta e o pé rodado, o que devo fazer?",No caso da perna operada mais curta e o pé rodado deve dirigir-se ao hospital mais próximo.
coxartrose26,coxartrose,Se eu sofrer uma queda?,"Não entre em pânico, mantenha a calma.
Se estiver sozinho tente deslocar-se /arrastar-se para pedir ajudar.
Se não conseguir deslocar-se faça barulho para chamar a atenção.
Depois de pedir ajuda mantenha-se sossegado e aguarde.
Se foi submetido a uma cirurgia do foro ortopédico contacte o seu médico assistente."
coxartrose27,coxartrose,Como prevenir as quedas?,"Evite subir cadeiras, bancos e escadotes;
Instale corrimão em escadas, barras de segurança na casa de banho;
Retire os tapetes ou use antiderrapantes;
Mantenha a casa bem iluminada;
Mantenha uma alimentação adequada e equilibrada;
Desenvolva atividade física adequada;
Conheça os efeitos dos medicamentos que toma;
Use auxiliares de marcha em pisos irregulares;
Utilizar chinelos fechados."
coxartrose28,coxartrose,Vou notar alguma diferença na anca depois da cirurgia?,"A prótese da anca é na atualidade uma das cirurgias mais gratificantes da ortopedia moderna. Alguns pacientes referem no início uma sensação ligeira de desconforto, de ""algo extranho"". "
coxartrose29,coxartrose,Quanto tempo vai durar a prótese da anca?,"O tempo de duração da prótese da anca é variável de paciente para paciente. As próteses da anca de última geração que utilizamos apresentam resultados de sobrevida (bom funcionamento) de cerca de 80% aos 20 anos da sua implantação. Quando uma prótese ""falha"", seja por desgaste, rejeição, infeção, instabilidade ou fractura, esta pode e deve ser substituida parcial o totalmente."
gonartrose1,gonartrose,O que é a Gonartrose (artrose do joelho)?,"É um desgaste da articulação do joelho com perda progressiva da cartilagem, aparecimento de bicos de papagaio, deformidade e derrame articular."
gonartrose2,gonartrose,Quais os sintomas?,"O sintoma que surge em primeiro lugar é a dor que está associada à perda de função, ou seja, diminuição da mobilidade e limitação da marcha.
O joelho apresenta-se deformado e muitas vezes com derrame articular (líquido)."
gonartrose3,gonartrose,Como se faz o diagnóstico?,"O diagnóstico é feito através exame médico e de uma radiografia, pode ser necessário a realização de uma Ressonância Magnética."
gonartrose4,gonartrose,Qual é o tratamento?,"Na fase inicial são prescritos analgésicos e anti-inflamatórios que, em conjunto com um plano adequado de fisioterapia, permitem um alívio da dor e melhoria da função articular, apesar de não tratarem a artrose.
A injeção intra-articular pode aliviar os sintomas, sobretudo na fase inicial da doença.
Se estes tratamentos não resultarem, está indicado o tratamento cirúrgico."
gonartrose5,gonartrose,Como posso preparar e manter o fortalecimento muscular?,"Aprender a praticar alguns exercícios para fortalecimento muscular, facilita o seu período pós-operatório e o programa de reabilitação com o fisioterapeuta.
Aprender a andar com canadianas antes de ser operado facilita o seu período pós-operatório e o programa de reabilitação.
Aconselhe-se com o seu médico ortopedista nas consultas de pré-operatório."
gonartrose6,gonartrose,O que é uma Prótese Total do Joelho?,A articulação do joelho é substituída por uma nova articulação – prótese (material artificial que substitui os tecidos danificados).
gonartrose7,gonartrose,É importante dobrar e esticar o joelho?,Durante o internamento iniciará exercícios de extensão e flexão da sua perna operada.
gonartrose8,gonartrose,Que cuidados recuperativos devo ter com Prótese do Joelho?,"Um programa de exercícios é fundamental. O doente deverá retomar as suas actividades habituais dentro de três a seis semanas após a recuperação da cirurgia. Pode manter dor ao movimento e durante a noite, por um período mais ou menos longo. O programa de actividades deve incluir:
Marcha gradual, inicialmente dentro de casa e depois no exterior
Desempenhar actividades habituais como seja sentar, levantar, caminhar e subir e descer escadas
Exercícios específicos para recuperação da força muscular do membro operado que lhe serão indicados pelo médico fisiatra ainda durante o internamento."
gonartrose9,gonartrose,O que posso fazer na vida diária tendo Prótese do Joelho?,"Um programa de exercícios é fundamental. O doente deverá retomar as suas actividades habituais dentro de três a seis semanas após a cirurgia. Pode manter dor ao movimento e durante a noite, por um período mais ou menos longo. O programa de actividades deve incluir:
Marcha gradual, inicialmente dentro de casa e depois no exterior
Desempenhar actividades habituais como seja sentar, levantar, caminhar e subir e descer escadas
Exercícios específicos para recuperação da força muscular do membro operado que lhe serão indicados pelo médico fisiatra ainda durante o internamento."
gonartrose10,gonartrose,Como levantar-me da cama?,"A cama deve ser alta para facilitar o movimento.
Levante pelo lado são, deitado de costas, rodar em bloco para o lado são, deslocando-se para a beira da cama. Faz carga no cotovelo que fica junto ao colchão para ajudar a iniciar o levante para a posição de sentado, ao mesmo tempo que põe as pernas para fora da cama. Apoiar a perna boa no chão e levantar o corpo.
No início, devido a dor poderá não conseguir dobrar (Fletir) completamente o seu joelho operado. Esta situação será ultrapassada, aos poucos a dor diminui e a mobilidade do seu joelho aumenta."
gonartrose11,gonartrose,Como sentar-me na cama?,"Deitar pelo lado são, encoste as nádegas à beira da cama e senta-se. Com apoio dos braços chega-se mais para dentro da cama. Levar primeiro a perna boa para o meio da cama e depois com ajuda das mãos, levar a perna operada.
Durante os 6 meses após a intervenção o doente deverá evitar dormir sobre a perna operada."
gonartrose12,gonartrose,Como se sentar e levantar da cadeira?,"De preferência use assentos com apoios de braços para facilitar os movimentos. Aquando sentado mantenha uma postura correta, costas direitas e os joelhos ao mesmo nível da anca. Evite fazer força na perna operada."
gonartrose13,gonartrose,Como posso tomar banho?,"No domicílio, durante o primeiro mês, deve haver o acompanhamento do cuidador. 
O uso de polibã deve ser aconselhado podendo o doente tomar banho sentado num banco desde que esteja bem seguro.
Se só houver banheira, pode usar equipamento adaptativo, como por exemplo, tábua de apoio para banheira.
Para entrar na banheira, introduz-se primeiro a perna sã e depois a perna operada. Para sair deve fazer o movimento inverso. 
Se possível instalar pegas de suporte na banheira e na sanita.
Não deve usar o bidé.
O uso de tapete antiderrapante no polibã/banheira.
Fazer alguma modificação na adequação do mobiliário de modo a movimentar-se melhor.
Retirar tapetes."
gonartrose14,gonartrose,Como andar com canadianas?,"A pessoa deverá iniciar marcha com auxiliares de marcha (andarilho, canadianas) o mais precocemente possível, mas sem fazer força na perna operada."
gonartrose15,gonartrose,Como descer escadas com canadianas?,"Colocar primeiro as canadianas no degrau abaixo, depois a pé operado e por último a pé são."
gonartrose16,gonartrose,Como subir escadas com canadianas?,"Colocar no degrau de cima primeiro o pé são, depois o pé doente e por fim as canadianas."
gonartrose17,gonartrose,"Como baixar, ajoelhar e limpar a casa?","Evite baixar-se.
Não apanhe objetos do chão.
Utilizar dispositivos para os sapatos e meias.
Até indicação médica evite trabalhos domésticos pesados."
gonartrose18,gonartrose,Para entrar e sair do carro como faço?,"Colocar o assento para trás o máximo possível.
Colocar a perna operada ao mesmo tempo que roda o tronco para dentro/fora e ajudar a perna operada com as mãos.
A colocação de um saco de plástico no assento pode ajudar a manobra."
gonartrose19,gonartrose,"Tenho uma injeção diária para fazer, para que serve?","Esta injeção é um anticoagulante, utilizado para prevenir o aparecimento de coágulos sanguíneos."
gonartrose20,gonartrose,Posso ter vida sexual ativa?,"Sim, no entanto, deve seguir as orientações do seu médico assistente. Aquando da consulta esclareça com o seu médico quais as posições adequadas."
gonartrose21,gonartrose,Se tiver dor intensa na perna operada?,"Deve fazer repouso. Aplicar gelo por períodos e se necessário tomar o analgésico receitado pelo seu médico assistente.
Caso a dor se mantenha recorra ao seu Centro de Saúde."
gonartrose22,gonartrose,"Tenho o joelho vermelho e inchado no local da operação, o que devo fazer?","Deve fazer repouso. Aplicar gelo por períodos e se necessário tomar o analgésico receitado pelo seu médico assistente.
Caso a dor se mantenha recorra ao seu Centro de Saúde."
gonartrose23,gonartrose,"A cicatriz começou a deitar um líquido, o que devo fazer?",Se a cicatriz deixar um líquido deve recorrer imediatamente ao seu Centro de Saúde.
gonartrose24,gonartrose,"Tenho febre, o que devo fazer?","Considera-se que um adulto tem febre quando a temperatura é superior ou igual a 38ºC, neste caso:
Tomar um antipirético (medicamento para baixar a febre);
Ingerir líquidos (água);
Repouso.
Existem muitas causas comuns que podem provocar febre, mas se esta, se mantiver e apresentar o local da operação vermelho, quente, inchado e com dor deve recorrer ao seu Centro de Saúde."
fermur1,fermur,"Fiz uma cirurgia após uma fratura do fémur, o que devo fazer?","O tratamento das fraturas do fémur é cirúrgico em quase 100% dos casos. O tipo de cirurgia é determinado pelo local da fratura e tipo de fratura.
De acordo com o tipo de fratura o material utilizado poderá ser: Cavilha, DHS /Placa ou Parafusos."
fermur2,fermur,Que tipo de cirurgia é realizada?,O tipo de cirurgia é determinado pelo local da fratura e tipo de fratura.
fermur3,fermur,Qual é o tratamento das fraturas do fémur?,Deve-se ser avaliado pelo seu médico assistente. O tratamento das fraturas do fémur é cirúrgico em quase 100% dos casos.
fermur4,fermur,Como é feita a recuperação?,"Os doentes submetidos a este tipo de cirurgia não devem permanecer todo o dia em repouso no leito. Está recomendado o levante diário para cadeira de rodas ou cadeirão (sofá). Se a sua a condição física o permitir pode andar de canadianas/andarilho conforme as orientações do médico assistente, do seu equilíbrio, coordenação e da sua tolerância à dor."
fermur5,fermur,Posso andar normalmente?,Se a sua a condição física o permitir pode andar de canadianas/andarilho conforme as orientações do médico assistente.
fermur6,fermur,O que é a Cirurgia com Cavilha?,"Os doentes submetidos a este tipo de cirurgia não devem permanecer todo o dia em repouso no leito. Está recomendado o levante diário para cadeira de rodas ou cadeirão (sofá). Se a sua a condição física o permitir pode andar de canadianas/andarilho conforme as orientações do médico assistente, do seu equilíbrio, coordenação e da sua tolerância à dor.
Só poderá fazer carga sobre o membro operado, se o seu médico assistente o indicar.
É de extrema importância o fortalecimento dos seus músculos, em especial do membro operado. Assim devem ser realizados exercícios isométricos (contrair o músculo sem movimentar a perna operada) ou isotónicos (contrair o músculo provocando o movimento da perna operada). 
Após a primeira consulta deve manter as indicações/orientações do seu médico assistente."
fermur7,fermur,O que é a cirurgia com a colocação de DHS /Placa?,"Os doentes submetidos a este tipo de cirurgia não devem permanecer todo o dia em repouso no leito. Está recomendado o levante diário para cadeira de rodas ou cadeirão (sofá). Se a sua a condição física o permitir pode andar de canadianas/andarilho conforme as orientações do médico assistente, do seu equilíbrio, coordenação e da sua tolerância à dor.
Só poderá fazer carga sobre o membro operado, se o seu médico assistente o indicar.
É de extrema importância o fortalecimento dos seus músculos, em especial do membro operado. Assim devem ser realizados exercícios isométricos (contrair o músculo sem movimentar a perna operada) ou isotónicos (contrair o músculo provocando o movimento da perna operada)."
fermur8,fermur,O que fazer quando na cirurgia são colocados Parafusos?,"Os doentes submetidos a este tipo de cirurgia não devem permanecer todo o dia em repouso no leito. Está recomendado o levante diário para cadeira de rodas ou cadeirão (sofá). Se a sua a condição física o permitir pode andar de canadianas/andarilho conforme as orientações do médico assistente, do seu equilíbrio, coordenação e da sua tolerância à dor.
Só poderá fazer carga sobre o membro operado, se o seu médico assistente o indicar.
É de extrema importância o fortalecimento dos seus músculos, em especial do membro operado. Assim devem ser realizados exercícios isométricos (contrair o músculo sem movimentar a perna operada) ou isotónicos (contrair o músculo provocando o movimento da perna operada)."
fixadores1,fixadores,O que são os fixadores externos?,Os fixadores externos são aparelhos que permitem manter a estabilidade e estrutura do osso durante a consolidação do mesmo. Podem ser utilizados como tratamento temporário ou definitivo. São utilizados em fraturas expostas ou complexas. Este tratamento evita a lesão adicional às partes moles traumatizadas dando estabilidade à lesão óssea sem prejudicar a circulação sanguínea circundante.
fixadores2,fixadores,Qual é o objetivo dos fixadores externos?,Os fixadores externos são aparelhos que permitem manter a estabilidade e estrutura do osso durante a consolidação do mesmo. Podem ser utilizados como tratamento temporário ou definitivo. São utilizados em fraturas expostas ou complexas. Este tratamento evita a lesão adicional às partes moles traumatizadas dando estabilidade à lesão óssea sem prejudicar a circulação sanguínea circundante.
fixadores3,fixadores,Que cuidados tenho que ter em casa?,"Ainda durante o internamento a equipa de enfermagem faz os ensinos e ajuda-o a praticar os cuidados que terá que ter em casa, no entanto é importante não esquecer:
O repouso é importante para prevenir a dor e o edema (inchaço);
Deve manter o membro elevado o máximo tempo possível ou sempre que ele se encontre com edema;
Caso ainda haja ferida deve proteger todo o membro durante o banho (coloque saco de plástico);
Limpe diariamente o local de inserção dos fixadores com compressa embebida em álcool;
Se tem animais em casa, todo a zona deve estar protegida quando estiver em contacto com os mesmos. É importante também, nestes casos, fazer reforço da limpeza dos fixadores;
Não fazer carga no membro, até indicação médica;
Verificar o estado das borrachas das canadianas para prevenir quedas;
Não falte às consultas marcadas;"
fixadores4,fixadores,É necessário fazer pensos no centro de saúde até remover os fixadores externos?,"Pode ter feridas suturadas ou feridas resultantes do traumatismo que necessitem de tratamento. O local de inserção dos pinos também necessita inicialmente de tratamento e acompanhamento. O seu enfermeiro irá orienta-lo. Espera-se que a zona de inserção dos fixadores cicatrize tipo “brinco”, pelo que numa fase mais avançada precisará apenas de fazer a limpeza diária e proteger a zona."
fixadores5,fixadores,Podem ocorrer complicações durante a utilização dos fixadores?,"A complicação mais frequente é a infeção no local de inserção dos fixadores. Porém, ela pode ser prevenida com a limpeza diária destes locais e mantendo a pele de todo o membro o mais limpa possível."
fixadores6,fixadores,Quais são os sinais de alarme para recorrer ao médico?,"As consultas com o seu médico servem para acompanhar tanto a evolução da cicatrização do osso como para a vigilância de todo o membro, daí a importância de não faltar.
É importante ter em conta que as seguintes situações exigem observação:
Saída de pus pelo local de inserção dos fixadores;
Cheiro fétido;
Agudização da dor subitamente;
Edema acentuado do membro mesmo cumprindo repouso;
Rubor e calor acentuado;
Após traumatismo do membro já com fixadores;
Aproveite a vigilância no centro de saúde para expor as suas dúvidas e informar os sintomas que considere relevantes, para que as situações possam ser vigiadas e analisadas o mais cedo possível."
gesso1,gesso,O que são aparelhos gessados?,"Os aparelhos gessados podem ser completos (a envolver o membro todo) ou parciais (talas gessadas). Estes aparelhos são dispositivos rígidos de imobilização externa, que envolvem uma região do corpo de forma a mantê-la numa posição adequada/correta após a redução da fratura óssea. 
Mantêm os ossos na posição anatómica enquanto as fraturas consolidam (colam).
Ajudam na proteção dos tecidos moles traumatizados (pele, músculos e nervos).
Ajudam a reduzir a dor, o edema (inchaço), o espasmo muscular e a diminuir a hemorragia.
A sua colocação é da exclusiva competência médica assim como a determinação do tempo de uso.
Podem também ser usados como ajuda após cirurgia."
gesso2,gesso,Que cuidados tenho de ter em casa?,"Ainda durante o internamento a equipa de enfermagem faz os ensinos e esclarece-o nos cuidados a ter.
O dispositivo gessado só estará completamente seco passado algum tempo, pelo que deve fazer algum repouso com o membro apoiado em almofada, de forma a evitar deformidades no mesmo durante esse período.
O membro imobilizado deve ser mantido na posição orientada pelo médico, com a elevação do mesmo e a mobilização das extremidades de forma a reduzir o inchaço.
O repouso é importante por períodos de forma a prevenir a dor e o edema.
Deve proteger o gesso da humidade (ensino feito no internamento, com a colocação de saco de plástico) – NÃO MOLHAR.
Deve realizar secagem rigorosa dos espaços entre os dedos.
Não pode colocar nenhum objeto dentro do gesso, como por exemplo canetas, réguas ou qualquer objeto pontiagudo que possa causar ferida.
Não deve conduzir.
Não deve praticar desporto.
Durante a viagem de avião colocar o membro em posição elevada.
Evitar apoio sobre a região poplítea nos membros inferiores (parte de traz do joelho).
Não andar sobre o gesso, se o apoio não for autorizado pelo médico.
Durante o repouso, o membro superior e inferior (braço e perna) deve apoiar em almofada para elevar todo o membro e as extremidades (dedos) e mexer os dedos frequentemente. Para limitar a atrofia e rigidez muscular deve contrair os músculos que fletem e estendem o membro e elevar o membro mais alto que o plano da cama/cadeira. A imobilização (para além da dor própria do traumatismo) não deve causar qualquer dor."
gesso3,gesso,Quais são os sinais de alarme para recorrer ao médico?,"Em caso de:
Inchaço (que depois de elevar o membro não reduz);
Dor que não passa ou não diminui com os analgésicos;
Mudança de cor dos dedos (roxos);
Mudança de temperatura dos dedos (frios);
Cheiro fétido - mau cheiro;
Manchas no gesso;
Diminuição da sensibilidade ou mobilidade das extremidades;
Formigueiro.
Nestes casos deve contactar um profissional de saúde ou mesmo dirigir-se ao serviço de urgência."
gesso4,gesso,Quando devo retirar o gesso?,"Os aparelhos gessados são retirados apenas por profissionais de saúde. Por vezes é utilizada uma serra elétrica de lâmina circular oscilatória no caso dos aparelhos completos, e apenas após indicação médica."
coluna1,coluna,O que é um colete dorsolombostato ou colete de Jewett?,"É uma estrutura em liga leve de alumínio com um formato anatómico que possui um apoio peitoral, zona da bacia e costas."
coluna2,coluna,Para que serve o colete dorsolombostato?,O dorsolombostato é um colete dorsal que se aplica numa fratura de coluna para o paciente conseguir manter a posição erecta.
coluna3,coluna,Quais são as indicações para usar o colete dorsolombostato ou de Jewett?,Este colete deve ser utilizado sempre após indicação médica. Normalmente é utilizado quando a pessoa tem fratura da coluna a nível da região dorsal ou lombar ou após um tratamento cirúrgico à coluna.
coluna4,coluna,Posso andar levantado sem o colete?,O colete deve ser colocado sempre com o doente deitado e só deve ser retirado no fim do doente se deitar. Isto significa que o doente não pode permanecer em pé sem o colete.
coluna5,coluna,Posso colocar o colete sozinho?,"Inicialmente o doente precisa de uma pessoa que o ajude a colocar e retirar o colete, com o passar do tempo é possível que o doente o consiga aplicar sozinho. O ideal é ter sempre alguém que ajude a colocar/retirar o colete."
coluna6,coluna,Quantas horas posso andar com o colete?,"Não há limite de horas para andar com o colete aplicado, vai depender de doente para doente e da ajuda disponível."
coluna7,coluna,Posso tomar banho com o colete?,"Sim, mas após o banho o colete tem de secar, isto implica que o doente permaneça deitado durante este tempo. O colete é constituído por umas almofadas que estão aparafusadas às barras laterais permitindo que a água entre, aumentando o tempo de secagem do colete.
Normalmente aconselhamos a que o doente tome um banho parcial com uso de toalhetes ou toalha molhada e uma vez por semana tome um banho total. 
Atenção: o colete deve estar bem seco antes da próxima utilização e não colocar o colete a secar junto de fontes de calor."
coluna8,coluna,"O colete está muito largo, o que posso fazer?","O colete possui uma faixa tipo cinto com velcro. 
Quando o doente sai do hospital normalmente o colete vai ajustado ao doente. Com a aplicação diária é normal que essa faixa vá ficando cada vez com mais folga, nesse caso é só ajustar a faixa como se fosse a alça de uma mala.
No caso de o colete estar muito apertado procede-se da mesma forma, desta vez alargando a faixa."
coluna9,coluna,"Tenho o peito marcado (vermelho) por causa do colete, o que devo fazer?","O colete nunca deve ser colocado diretamente sobre a pele, é aconselhável vestir uma camisola de algodão sem botões por baixo do colete. No caso de começar a ficar com o peito vermelho verifique se o colete está bem aplicado ou se está muito apertado. Pode colocar uma toalha ou algodão por baixo do colete, na zona onde este magoa.
Deve vigiar a zona que está vermelha e se necessário aplicar um creme."
coluna10,coluna,"O meu colete cheira mal, o que posso fazer?","É normal o colete ganhar cheiro especialmente no Verão ou se é aplicado sem estar bem seco. Quando retirar o colete, passe-o com um pano embebido em álcool. "
coluna11,coluna,Já não tenho dores posso deixar de usar o colete?,"Não, o colete deve ser utilizado conforme indicação médica. Normalmente o doente após a alta fica com uma consulta de ortopedia marcada e nessa altura o médico dar-lhe -á novas indicações."
coluna12,coluna,Como colocar o colete dorsolombostato?,"Na posição de deitado colocar o dorsolombostato em cima;
Para rodar o corpo, dobre a perna esquerda e com o apoio do calcanhar, rode o corpo todo para a direita;
O apoio dorsal deve ficar ao meio das costas;
Dobre a perna direita e com o apoio do calcanhar rode o corpo todo para a esquerda;
Isto servirá para ajustar a fita;
Coloque a peça de ajuste no encaixe;
Na posição de deitado de costas feche a mola."